City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
82,Hilo,US,2021-02-03 20:00:10,19.7297,-155.09,75.2,60,1,11.5
83,Waingapu,ID,2021-02-03 20:03:44,-9.6567,120.2641,76.55,84,100,9.44
84,Abu Samrah,SY,2021-02-03 20:03:44,35.3029,37.1841,53.17,62,81,11.61
85,Nome,US,2021-02-03 20:03:44,64.5011,-165.4064,-0.4,65,20,9.22
86,Suining,CN,2021-02-03 20:03:44,30.508,105.5733,53.28,63,93,1.9
87,Raduzhnyy,RU,2021-02-03 20:03:44,62.0961,77.475,-1.97,93,99,5.77
88,Tiksi,RU,2021-02-03 20:03:44,71.6872,128.8694,-28.23,85,30,1.61
89,Vilyuysk,RU,2021-02-03 20:03:44,63.7553,121.6247,-27.26,85,100,5.64
90,Oranjestad,AW,2021-02-03 20:03:44,12.524,-70.027,84.2,70,40,23.02
91,Canatlan,MX,2021-02-03 20:03:44,24.5167,-104.7833,78.8,15,40,4.61
92,Chara,RU,2021-02-03 20:03:44,56.9064,118.2631,-30.44,66,0,1.03
93,Gyomaendrod,HU,2021-02-03 20:02:09,46.9333,20.8333,50.0,76,0,9.22
94,Albany,US,2021-02-03 20:03:45,42.6001,-73.9662,32.0,66,100,11.99
95,Kawalu,ID,2021-02-03 20:03:45,-7.3817,108.2082,72.32,89,100,3.44
96,Thayetmyo,MM,2021-02-03 20:03:45,19.3167,95.1833,60.46,36,0,1.68
97,Vao,NC,2021-02-03 20:03:45,-22.6667,167.4833,77.95,87,98,24.2
98,Touros,BR,2021-02-03 20:03:45,-5.1989,-35.4608,84.2,61,20,18.41
99,Narsaq,GL,2021-02-03 20:03:45,60.9167,-46.05,15.8,53,75,6.91
100,Rovaniemi,FI,2021-02-03 20:01:37,66.5,25.7167,6.8,85,20,9.22
101,Saint George,US,2021-02-03 19:59:49,37.1041,-113.5841,66.0,58,1,4.61
102,Goderich,CA,2021-02-03 20:03:45,43.7501,-81.7165,30.2,69,0,13.8
103,Bowen,AU,2021-02-03 20:03:45,-20.0167,148.2333,71.6,100,40,4.61
104,Abalak,RU,2021-02-03 20:03:46,58.1286,68.5944,7.21,96,92,6.98
105,Miri,MY,2021-02-03 20:03:46,4.4148,114.0089,75.2,100,40,5.12
106,Alta Gracia,AR,2021-02-03 20:03:46,-31.6529,-64.4283,81.0,45,69,1.99
107,Qaanaaq,GL,2021-02-03 20:03:46,77.484,-69.3632,-21.5,68,73,2.8
108,Maraa,BR,2021-02-03 20:03:46,-1.8333,-65.3667,82.06,88,100,2.42
109,Pasighat,IN,2021-02-03 20:03:46,28.0667,95.3333,61.95,39,80,3.69
110,Maturin,VE,2021-02-03 20:03:46,9.75,-63.1767,81.68,78,29,9.95
111,Bengkulu,ID,2021-02-03 20:03:46,-3.8004,102.2655,75.31,85,100,5.5
112,Georgetown,MY,2021-02-03 20:03:46,5.4112,100.3354,78.8,73,20,2.3
113,Arraial Do Cabo,BR,2021-02-03 19:59:08,-22.9661,-42.0278,87.8,65,0,20.71
114,Saint-Philippe,RE,2021-02-03 20:03:46,-21.3585,55.7679,80.6,74,0,2.3
115,Avera,US,2021-02-03 20:03:47,33.194,-82.5271,53.6,20,1,6.91
116,Ahipara,NZ,2021-02-03 20:03:47,-35.1667,173.1667,65.26,68,94,1.72
117,Markova,UA,2021-02-03 20:03:47,48.6758,24.4138,38.34,84,96,4.54
118,Marawi,PH,2021-02-03 20:03:47,7.9986,124.2928,73.99,94,100,5.01
119,Zyryanka,RU,2021-02-03 20:03:47,65.75,150.85,-22.74,86,98,11.86
120,Otacilio Costa,BR,2021-02-03 20:03:47,-27.4831,-50.1219,74.32,93,100,3.8
121,Jupiter,US,2021-02-03 20:00:37,26.9342,-80.0942,64.4,20,1,11.5
122,Rancho Palos Verdes,US,2021-02-03 20:03:47,33.7445,-118.387,64.0,88,40,6.89
123,Sola,VU,2021-02-03 20:03:47,-13.8833,167.55,81.54,79,100,13.78
124,Ostersund,SE,2021-02-03 20:03:47,63.1792,14.6357,8.01,85,90,5.46
125,Manbij,SY,2021-02-03 20:03:48,36.5281,37.9549,48.2,76,75,6.91
126,Faanui,PF,2021-02-03 20:03:48,-16.4833,-151.75,81.37,73,0,11.81
127,San Cristobal,VE,2021-02-03 20:03:48,7.7669,-72.225,89.6,45,40,13.8
128,Barrow,US,2021-02-03 20:00:22,71.2906,-156.7887,-29.2,75,1,13.8
129,Kimbe,PG,2021-02-03 20:03:48,-5.5502,150.1429,76.46,87,100,3.02
130,Korla,CN,2021-02-03 20:03:48,41.7597,86.1469,25.48,84,0,2.51
131,Atasu,KZ,2021-02-03 20:03:48,48.6814,71.6433,18.57,90,97,8.68
132,Mairana,BO,2021-02-03 20:03:48,-18.1167,-63.9333,69.03,84,100,3.65
133,Provideniya,RU,2021-02-03 20:03:48,64.3833,-173.3,-8.05,83,97,13.33
134,Laguna,US,2021-02-03 20:03:48,38.421,-121.4238,55.99,71,90,10.36
135,Winchester,GB,2021-02-03 20:03:49,51.0651,-1.3187,41.0,87,40,4.61
136,Bollnas,SE,2021-02-03 20:03:49,61.3482,16.3946,7.0,63,62,4.0
137,Dodge City,US,2021-02-03 20:03:49,37.7528,-100.0171,64.4,32,1,19.57
138,Finschhafen,PG,2021-02-03 20:03:49,-6.6024,147.8681,80.31,78,100,9.8
139,Souillac,MU,2021-02-03 20:03:49,-20.5167,57.5167,78.8,89,75,4.61
140,Sarangani,PH,2021-02-03 20:03:49,5.4033,125.4636,81.91,74,41,11.03
141,Naze,JP,2021-02-03 20:03:50,28.3667,129.4833,51.21,68,0,4.21
142,Norman Wells,CA,2021-02-03 20:03:50,65.282,-126.8329,-34.6,67,75,6.91
143,San Javier,ES,2021-02-03 20:03:50,37.8063,-0.8374,59.0,88,20,4.61
144,Gizo,SB,2021-02-03 20:03:50,-8.103,156.8419,81.97,80,95,16.82
145,Mareeba,AU,2021-02-03 20:03:50,-17.0,145.4333,73.4,94,81,1.07
146,Tongliao,CN,2021-02-03 20:03:50,43.6125,122.2653,-7.15,83,0,6.82
147,Victoria,HK,2021-02-03 20:02:54,22.2855,114.1577,64.0,77,0,1.01
