City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Namatanai,PG,80.55,light rain,-3.6667,152.4333,Namatanai Hotel
552,Rafaela,AR,84.99,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
553,San Carlos Del Zulia,VE,87.82,broken clouds,9.0,-71.9135,Hotel El Manantial
554,Honiara,SB,77.95,overcast clouds,-9.4333,159.95,Heritage Park Hotel
556,Mitsamiouli,KM,84.2,broken clouds,-11.3847,43.2844,Foyer ADM
557,Moerai,PF,80.83,scattered clouds,-22.4333,-151.3333,Le Manotel
558,Madang,PG,77.13,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
559,Keningau,MY,80.6,few clouds,5.3378,116.1602,Sabindo Hotel
560,Ambanja,MG,84.2,light rain,-13.6833,48.45,Hotel Salama and Fast Food
561,Port Moresby,PG,77.0,few clouds,-9.4431,147.1797,Lamana Hotel
564,Labuhan,ID,79.81,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
565,Aden,YE,75.6,few clouds,12.7794,45.0367,Sama Emirate Hotel
566,Inhambane,MZ,89.01,scattered clouds,-23.865,35.3833,Oceano
572,Amahai,ID,80.04,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
575,Cobija,BO,84.2,broken clouds,-11.0267,-68.7692,Hotel Obelisco
576,Kavaratti,IN,81.68,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
577,Jertih,MY,78.8,few clouds,5.7336,102.4897,One Utama Hotel
579,San Cristobal,VE,84.2,few clouds,7.7669,-72.225,Pirineos
582,Bandarbeyla,SO,76.84,clear sky,9.4942,50.8122,JABIR HOTEL
584,Finschhafen,PG,81.72,overcast clouds,-6.6024,147.8681,Cossam Guest House
593,Palmital,BR,79.66,clear sky,-22.7889,-50.2175,OROFINO HOTEL CLUBE
610,Basoko,CD,85.75,broken clouds,1.2391,23.616,Flat Hotel La Benediction
614,Pangai,TO,79.88,light rain,-19.8,-174.35,Ha'apai Beach Resort
617,Samarinda,ID,75.04,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
619,Ibaiti,BR,82.99,clear sky,-23.8486,-50.1878,Hotel Moraes
626,Laranjeiras Do Sul,BR,80.64,clear sky,-25.4078,-52.4161,Hotel Palmeiras
631,Pitanga,BR,79.9,clear sky,-24.7572,-51.7614,Hotel Santa Carmem
636,Takoradi,GH,84.13,light rain,4.8845,-1.7554,Raybow International Hotel
638,Puerto Madero,MX,78.8,clear sky,14.7208,-92.4215,Hotel La Central
639,Lira,UG,83.05,overcast clouds,2.235,32.9097,ST Lira Hotel Limited
640,Manaure,CO,84.63,overcast clouds,11.7751,-72.4445,Hotel Palaaima
642,Biak,ID,77.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
646,Isangel,VU,77.0,few clouds,-19.55,169.2667,Volcano Sea View Tree House
653,Unai,BR,79.11,overcast clouds,-16.3575,-46.9061,Hotel Regente
660,Quatre Cocos,MU,81.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
664,Pochutla,MX,75.2,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
666,Caravelas,BR,83.55,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
668,Fomboni,KM,84.56,light rain,-12.28,43.7425,Auberge les abou
670,Chibuto,MZ,78.89,overcast clouds,-24.6867,33.5306,Hotel Mar Da Zinha
677,Mwanza,TZ,75.2,broken clouds,-2.5167,32.9,Gold Crest Hotel
678,Pundaguitan,PH,80.08,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
684,Lujan,AR,86.0,clear sky,-34.5703,-59.105,Hotel Biarritz
686,Boa Vista,BR,86.0,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
689,Acapulco,MX,77.0,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
693,Byron Bay,AU,77.0,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
695,Luganville,VU,77.59,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
698,Safaga,EG,75.2,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
699,Luangwa,ZM,81.46,light rain,-15.6167,30.4167,Gerasimos Safari Lodge
701,Manadhoo,MV,81.93,broken clouds,5.7667,73.3833,Vevu Guesthouse
703,Wiang Sa,TH,78.8,few clouds,8.6359,99.3666,ชำนาญอินน์
706,Japura,ID,76.26,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
711,Ambulu,ID,77.41,moderate rain,-8.345,113.6058,Hotel Ambulu Jember
712,Kathu,TH,86.0,broken clouds,7.9178,98.3332,Novotel Phuket Resort
715,Mana,GF,79.84,overcast clouds,5.6592,-53.7767,LE SAMANA
719,Camocim,BR,83.77,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
