City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Praia Da Vitoria,PT,38.7333,-27.0667,57.0,82,20,11.36,few clouds
151,Port Alberni,CA,49.2413,-124.8028,41.0,91,100,1.01,overcast clouds
152,Mareeba,AU,-17.0,145.4333,91.0,70,100,3.44,light rain
153,Byron Bay,AU,-28.65,153.6167,80.6,61,40,19.57,scattered clouds
154,Amatenango Del Valle,MX,16.5167,-92.45,75.2,69,1,9.22,clear sky
155,Hermanus,ZA,-34.4187,19.2345,63.0,76,0,5.99,clear sky
156,Tonstad,NO,58.6626,6.7169,23.0,75,0,13.78,clear sky
157,Adrar,MR,20.5022,-10.0711,55.62,38,0,9.91,clear sky
158,Parfenyevo,RU,58.484,43.4088,-21.21,85,0,8.12,clear sky
159,Kuragino,RU,53.8975,92.6725,20.25,96,100,4.65,overcast clouds
160,Russkaya Polyana,UA,49.417,31.9201,11.32,96,100,12.12,light snow
161,Port Elizabeth,ZA,-33.918,25.5701,64.4,82,0,10.36,clear sky
162,Cartagena,CO,10.3997,-75.5144,80.6,83,0,6.91,clear sky
163,Buala,SB,-8.145,159.5921,86.7,70,71,11.56,light rain
164,Bambanglipuro,ID,-7.95,110.2833,83.57,72,93,4.36,overcast clouds
165,Ilulissat,GL,69.2167,-51.1,21.2,38,0,19.57,clear sky
166,Tutoia,BR,-2.7619,-42.2744,79.61,84,22,8.32,few clouds
167,Hasaki,JP,35.7333,140.8333,46.0,42,75,10.36,broken clouds
168,San Cataldo,IT,37.4841,13.9854,48.0,87,51,6.69,moderate rain
169,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.76,81,100,8.1,overcast clouds
170,Piraju,BR,-23.1936,-49.3839,64.24,84,0,11.23,clear sky
171,Lopatino,RU,52.6195,45.8118,-3.53,91,100,12.46,overcast clouds
172,Faanui,PF,-16.4833,-151.75,81.43,76,0,13.24,clear sky
173,Bacolod,PH,10.6667,122.95,77.58,86,100,12.3,moderate rain
174,Tigil,RU,57.8,158.6667,26.98,91,0,21.56,clear sky
175,Prince Rupert,CA,54.3161,-130.3201,33.8,51,1,9.22,clear sky
176,Nikolskoye,RU,59.7035,30.7861,15.8,86,75,6.71,broken clouds
177,Bluff,NZ,-46.6,168.3333,64.18,62,100,8.77,moderate rain
178,Bengkulu,ID,-3.8004,102.2655,83.35,62,73,2.55,broken clouds
179,Jiexiu,CN,37.0244,111.9125,37.87,64,59,1.63,broken clouds
180,Saint-Augustin,CA,51.226,-58.6502,16.59,92,2,10.2,clear sky
181,Kodinsk,RU,58.6881,99.1844,25.99,96,53,8.23,broken clouds
182,North Bend,US,43.4065,-124.2243,46.99,76,90,6.91,overcast clouds
183,Rudnya,RU,54.947,31.0934,-2.18,93,29,3.36,scattered clouds
184,Baruun-Urt,MN,46.6806,113.2792,1.11,90,11,12.24,few clouds
185,Atambua,ID,-9.1061,124.8925,80.51,79,100,5.44,overcast clouds
186,Uba,BR,-21.12,-42.9428,66.79,93,100,2.66,overcast clouds
187,Goderich,CA,43.7501,-81.7165,12.2,62,100,12.66,overcast clouds
188,Dublin,US,37.7021,-121.9358,60.01,51,1,0.89,clear sky
189,Harper,LR,4.375,-7.7169,79.0,89,24,5.7,few clouds
190,Mackay,AU,-21.15,149.2,93.99,66,0,12.66,clear sky
191,Bocas Del Toro,PA,9.3333,-82.25,79.05,79,90,5.64,overcast clouds
192,Namtsy,RU,62.7161,129.6658,-43.6,66,90,2.24,fog
193,Lorengau,PG,-2.0226,147.2712,85.44,69,100,5.19,overcast clouds
194,Bouna,CI,9.2667,-3.0,79.25,21,0,4.5,clear sky
195,Esil,KZ,51.9556,66.4042,0.3,92,29,10.18,scattered clouds
196,Enumclaw,US,47.2043,-121.9915,43.0,85,100,5.01,overcast clouds
197,Ygatimi,PY,-24.0833,-55.5,68.09,74,0,2.57,clear sky
198,Guerrero Negro,MX,27.9769,-114.0611,63.23,56,0,11.27,clear sky
199,Bredasdorp,ZA,-34.5322,20.0403,57.2,82,15,5.75,few clouds
200,Provideniya,RU,64.3833,-173.3,-0.71,84,100,18.23,overcast clouds
201,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,74.95,96,100,0.63,overcast clouds
202,Marang,MY,5.2056,103.2059,80.6,83,40,5.75,scattered clouds
203,Papara,BR,-3.9839,-38.7273,81.0,83,40,5.75,scattered clouds
204,Havelock,US,34.8791,-76.9013,41.0,87,1,5.75,clear sky
205,Surt,LY,31.2089,16.5887,68.36,43,100,15.93,overcast clouds
206,Bathsheba,BB,13.2167,-59.5167,77.0,65,40,17.27,scattered clouds
207,Xianshuigu,CN,38.985,117.3828,33.8,55,0,4.47,clear sky
208,Pisco,PE,-13.7,-76.2167,73.4,78,75,5.75,broken clouds
